ID,type,sex,age,party,representation,position,state
Platzeck,0,1,4,3,1,1,3
Pofalla,0,1,4,1,1,1,4
Praetorius,0,2,3,6,4,1,2
Tillich,0,1,4,1,1,1,5
Hasselfeldt,0,2,5,2,1,2,7
Kampeter,0,1,3,1,2,2,4
Kapferer,0,1,3,5,2,2,8
Kempf,0,1,4,6,2,2,7
Nemat,0,2,3,6,2,2,4
Reiche,0,2,2,1,2,2,3
Roestel,0,2,3,4,2,2,5
Schweitzer,0,1,3,6,2,2,2
Grothus,0,2,3,6,5,2,4
Wodtke,0,2,5,1,5,2,3
Herntier,0,2,4,6,5,2,3
Kreuzberg,0,1,4,1,5,2,4
Priggen,0,1,4,4,5,2,1
Vassiliadis,0,1,3,3,3,2,4
Scheidt,0,1,3,3,3,2,4
Koerzell,0,1,3,3,3,2,6
Kaiser,0,1,3,99,4,2,99
Weiger,0,1,5,6,4,2,7
Niebert,0,1,1,6,4,2,99
Schoenefeld,0,2,4,6,6,2,4
Matthes,0,1,3,6,6,2,2
Schellnhuber,0,1,5,6,6,2,7
Niebuhr,0,2,3,6,6,2,99
Wehrspohn,0,1,2,6,6,2,99
Laemmel,0,1,4,1,1,3,5
Lenz,0,1,1,2,1,3,7
Miersch,0,1,3,3,1,3,1
CDU,1,99,99,1,99,99,99
CSU,1,99,99,2,99,99,99
SPD,1,99,99,3,99,99,99
Gruenen,1,99,99,4,99,99,99
FDP,1,99,99,5,99,99,99
DB,1,99,99,99,99,99,99
HTW,1,99,99,99,99,99,99
DRK,1,99,99,99,99,99,99
BDA,1,99,99,99,99,99,99
BDEW,1,99,99,99,99,99,99
BDI,1,99,99,99,99,99,99
Telekom,1,99,99,99,99,99,99
VKU,1,99,99,99,99,99,99
SD,1,99,99,99,99,99,99
EnBW,1,99,99,99,99,99,99
DIHT,1,99,99,99,99,99,99
Alba,1,99,99,99,99,99,99
BfB,1,99,99,99,99,99,99
GZW,1,99,99,99,99,99,99
BSPR,1,99,99,99,99,99,99
LREK,1,99,99,99,99,99,99
LEENRW,1,99,99,99,99,99,99
IGBCE,1,99,99,99,99,99,99
Verdi,1,99,99,99,99,99,99
Eon,1,99,99,99,99,99,99
DGB,1,99,99,99,99,99,99
Greenpeace,1,99,99,99,99,99,99
BUND,1,99,99,99,99,99,99
RNE,1,99,99,99,99,99,99
DNR,1,99,99,99,99,99,99
NFD,1,99,99,99,99,99,99
BfAN,1,99,99,99,99,99,99
DVPW,1,99,99,99,99,99,99
PIK,1,99,99,99,99,99,99
IPCC,1,99,99,99,99,99,99
CAU,1,99,99,99,99,99,99
LFIM,1,99,99,99,99,99,99
AWE,1,99,99,99,99,99,99
PKM,1,99,99,99,99,99,99
BT,1,99,99,99,99,99,99
PBnE,1,99,99,99,99,99,99
KK,1,99,99,99,99,99,99
